"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","Domain_var","TL1","Domain_name","Domain_num"
"FX13",1,1,"Khoi",NA,"Aa03","General_TL1_avg_final",3,"law",1
"FX13",1,1,"Khoi",NA,"Aa03","Soc_TL1_avg_final",NA,"social",2
"FX13",1,1,"Khoi",NA,"Aa03","Gender_TL1_avg_final",3,"gender",3
"FX13",1,1,"Khoi",NA,"Aa03","Mar_TL1_avg_final",2.25,"marriage",4
"FX13",1,1,"Khoi",NA,"Aa03","Sex_TL1_avg_final",3,"sex",5
"FX13",1,1,"Khoi",NA,"Aa03","FM_TL1_avg_final",3.25,"funeral",6
"FX13",1,1,"Khoi",NA,"Aa03","Ov_tl_avg",2.9,"overall",7
"FX13",1,1,"Khoi",NA,"Aa03","General_TL5B_avg_final",3,"gestalt",8
"FX10",2,2,"San",NA,"Aa01","General_TL1_avg_final",2.25,"law",1
"FX10",2,2,"San",NA,"Aa01","Soc_TL1_avg_final",1.75,"social",2
"FX10",2,2,"San",NA,"Aa01","Gender_TL1_avg_final",2.75,"gender",3
"FX10",2,2,"San",NA,"Aa01","Mar_TL1_avg_final",2,"marriage",4
"FX10",2,2,"San",NA,"Aa01","Sex_TL1_avg_final",3,"sex",5
"FX10",2,2,"San",NA,"Aa01","FM_TL1_avg_final",1,"funeral",6
"FX10",2,2,"San",NA,"Aa01","Ov_tl_avg",2.125,"overall",7
"FX10",2,2,"San",NA,"Aa01","General_TL5B_avg_final",2,"gestalt",8
"FQ09",4,4,"Lozi","2","Ab03","General_TL1_avg_final",3.125,"law",1
"FQ09",4,4,"Lozi","2","Ab03","Soc_TL1_avg_final",2.5,"social",2
"FQ09",4,4,"Lozi","2","Ab03","Gender_TL1_avg_final",3.5,"gender",3
"FQ09",4,4,"Lozi","2","Ab03","Mar_TL1_avg_final",2.75,"marriage",4
"FQ09",4,4,"Lozi","2","Ab03","Sex_TL1_avg_final",2.75,"sex",5
"FQ09",4,4,"Lozi","2","Ab03","FM_TL1_avg_final",3,"funeral",6
"FQ09",4,4,"Lozi","2","Ab03","Ov_tl_avg",2.9375,"overall",7
"FQ09",4,4,"Lozi","2","Ab03","General_TL5B_avg_final",3,"gestalt",8
"FP13",5,5,"Ovimbundu",NA,"Ab05","General_TL1_avg_final",3.875,"law",1
"FP13",5,5,"Ovimbundu",NA,"Ab05","Soc_TL1_avg_final",3.875,"social",2
"FP13",5,5,"Ovimbundu",NA,"Ab05","Gender_TL1_avg_final",4,"gender",3
"FP13",5,5,"Ovimbundu",NA,"Ab05","Mar_TL1_avg_final",3.75,"marriage",4
"FP13",5,5,"Ovimbundu",NA,"Ab05","Sex_TL1_avg_final",3.875,"sex",5
"FP13",5,5,"Ovimbundu",NA,"Ab05","FM_TL1_avg_final",3.75,"funeral",6
"FP13",5,5,"Ovimbundu",NA,"Ab05","Ov_tl_avg",3.85416666666667,"overall",7
"FP13",5,5,"Ovimbundu",NA,"Ab05","General_TL5B_avg_final",3.75,"gestalt",8
"FQ05",7,7,"Bemba","3","Ac03","General_TL1_avg_final",3.875,"law",1
"FQ05",7,7,"Bemba","3","Ac03","Soc_TL1_avg_final",2.125,"social",2
"FQ05",7,7,"Bemba","3","Ac03","Gender_TL1_avg_final",3.125,"gender",3
"FQ05",7,7,"Bemba","3","Ac03","Mar_TL1_avg_final",3.75,"marriage",4
"FQ05",7,7,"Bemba","3","Ac03","Sex_TL1_avg_final",4,"sex",5
"FQ05",7,7,"Bemba","3","Ac03","FM_TL1_avg_final",3,"funeral",6
"FQ05",7,7,"Bemba","3","Ac03","Ov_tl_avg",3.3125,"overall",7
"FQ05",7,7,"Bemba","3","Ac03","General_TL5B_avg_final",4,"gestalt",8
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","General_TL1_avg_final",3.125,"law",1
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","Soc_TL1_avg_final",3,"social",2
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","Gender_TL1_avg_final",3.375,"gender",3
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","Mar_TL1_avg_final",2.5,"marriage",4
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","Sex_TL1_avg_final",3.5,"sex",5
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","FM_TL1_avg_final",4,"funeral",6
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","Ov_tl_avg",3.25,"overall",7
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06","General_TL5B_avg_final",3.125,"gestalt",8
"FK07",12,12,"Ganda","4","Ad07","General_TL1_avg_final",4,"law",1
"FK07",12,12,"Ganda","4","Ad07","Soc_TL1_avg_final",3.125,"social",2
"FK07",12,12,"Ganda","4","Ad07","Gender_TL1_avg_final",4,"gender",3
"FK07",12,12,"Ganda","4","Ad07","Mar_TL1_avg_final",3.125,"marriage",4
"FK07",12,12,"Ganda","4","Ad07","Sex_TL1_avg_final",4,"sex",5
"FK07",12,12,"Ganda","4","Ad07","FM_TL1_avg_final",4,"funeral",6
"FK07",12,12,"Ganda","4","Ad07","Ov_tl_avg",3.70833333333333,"overall",7
"FK07",12,12,"Ganda","4","Ad07","General_TL5B_avg_final",4,"gestalt",8
"FO04",13,13,"Mbuti","1","Aa05","General_TL1_avg_final",1,"law",1
"FO04",13,13,"Mbuti","1","Aa05","Soc_TL1_avg_final",1,"social",2
"FO04",13,13,"Mbuti","1","Aa05","Gender_TL1_avg_final",1,"gender",3
"FO04",13,13,"Mbuti","1","Aa05","Mar_TL1_avg_final",2,"marriage",4
"FO04",13,13,"Mbuti","1","Aa05","Sex_TL1_avg_final",1.25,"sex",5
"FO04",13,13,"Mbuti","1","Aa05","FM_TL1_avg_final",1.75,"funeral",6
"FO04",13,13,"Mbuti","1","Aa05","Ov_tl_avg",1.33333333333333,"overall",7
"FO04",13,13,"Mbuti","1","Aa05","General_TL5B_avg_final",1,"gestalt",8
"FF57",16,16,"Tiv","9","Ah03","General_TL1_avg_final",3.125,"law",1
"FF57",16,16,"Tiv","9","Ah03","Soc_TL1_avg_final",2.75,"social",2
"FF57",16,16,"Tiv","9","Ah03","Gender_TL1_avg_final",3.125,"gender",3
"FF57",16,16,"Tiv","9","Ah03","Mar_TL1_avg_final",3,"marriage",4
"FF57",16,16,"Tiv","9","Ah03","Sex_TL1_avg_final",3.375,"sex",5
"FF57",16,16,"Tiv","9","Ah03","FM_TL1_avg_final",3.125,"funeral",6
"FF57",16,16,"Tiv","9","Ah03","Ov_tl_avg",3.08333333333333,"overall",7
"FF57",16,16,"Tiv","9","Ah03","General_TL5B_avg_final",3,"gestalt",8
"FE12",19,19,"Akan","6","Af03","General_TL1_avg_final",4,"law",1
"FE12",19,19,"Akan","6","Af03","Soc_TL1_avg_final",3.75,"social",2
"FE12",19,19,"Akan","6","Af03","Gender_TL1_avg_final",4,"gender",3
"FE12",19,19,"Akan","6","Af03","Mar_TL1_avg_final",4,"marriage",4
"FE12",19,19,"Akan","6","Af03","Sex_TL1_avg_final",4,"sex",5
"FE12",19,19,"Akan","6","Af03","FM_TL1_avg_final",4,"funeral",6
"FE12",19,19,"Akan","6","Af03","Ov_tl_avg",3.95833333333333,"overall",7
"FE12",19,19,"Akan","6","Af03","General_TL5B_avg_final",4,"gestalt",8
"MS30",21,21,"Wolof","7","Cb02","General_TL1_avg_final",1,"law",1
"MS30",21,21,"Wolof","7","Cb02","Soc_TL1_avg_final",NA,"social",2
"MS30",21,21,"Wolof","7","Cb02","Gender_TL1_avg_final",NA,"gender",3
"MS30",21,21,"Wolof","7","Cb02","Mar_TL1_avg_final",3,"marriage",4
"MS30",21,21,"Wolof","7","Cb02","Sex_TL1_avg_final",3,"sex",5
"MS30",21,21,"Wolof","7","Cb02","FM_TL1_avg_final",3,"funeral",6
"MS30",21,21,"Wolof","7","Cb02","Ov_tl_avg",2.5,"overall",7
"MS30",21,21,"Wolof","7","Cb02","General_TL5B_avg_final",3,"gestalt",8
"FA08",22,22,"Bambara",NA,"Ag01","General_TL1_avg_final",2.75,"law",1
"FA08",22,22,"Bambara",NA,"Ag01","Soc_TL1_avg_final",4,"social",2
"FA08",22,22,"Bambara",NA,"Ag01","Gender_TL1_avg_final",3.75,"gender",3
"FA08",22,22,"Bambara",NA,"Ag01","Mar_TL1_avg_final",3,"marriage",4
"FA08",22,22,"Bambara",NA,"Ag01","Sex_TL1_avg_final",2.25,"sex",5
"FA08",22,22,"Bambara",NA,"Ag01","FM_TL1_avg_final",4,"funeral",6
"FA08",22,22,"Bambara",NA,"Ag01","Ov_tl_avg",3.29166666666667,"overall",7
"FA08",22,22,"Bambara",NA,"Ag01","General_TL5B_avg_final",3.25,"gestalt",8
"FE11",23,23,"Tallensi",NA,"Ag04","General_TL1_avg_final",3,"law",1
"FE11",23,23,"Tallensi",NA,"Ag04","Soc_TL1_avg_final",2.75,"social",2
"FE11",23,23,"Tallensi",NA,"Ag04","Gender_TL1_avg_final",2.75,"gender",3
"FE11",23,23,"Tallensi",NA,"Ag04","Mar_TL1_avg_final",3.25,"marriage",4
"FE11",23,23,"Tallensi",NA,"Ag04","Sex_TL1_avg_final",3.25,"sex",5
"FE11",23,23,"Tallensi",NA,"Ag04","FM_TL1_avg_final",3.75,"funeral",6
"FE11",23,23,"Tallensi",NA,"Ag04","Ov_tl_avg",3.125,"overall",7
"FE11",23,23,"Tallensi",NA,"Ag04","General_TL5B_avg_final",3,"gestalt",8
"MS20",24,24,"Songhai",NA,"Cb03","General_TL1_avg_final",3.25,"law",1
"MS20",24,24,"Songhai",NA,"Cb03","Soc_TL1_avg_final",3.25,"social",2
"MS20",24,24,"Songhai",NA,"Cb03","Gender_TL1_avg_final",3.25,"gender",3
"MS20",24,24,"Songhai",NA,"Cb03","Mar_TL1_avg_final",3.75,"marriage",4
"MS20",24,24,"Songhai",NA,"Cb03","Sex_TL1_avg_final",NA,"sex",5
"MS20",24,24,"Songhai",NA,"Cb03","FM_TL1_avg_final",NA,"funeral",6
"MS20",24,24,"Songhai",NA,"Cb03","Ov_tl_avg",3.375,"overall",7
"MS20",24,24,"Songhai",NA,"Cb03","General_TL5B_avg_final",NA,"gestalt",8
"MS11",25,25,"Fulani",NA,"Cb24","General_TL1_avg_final",NA,"law",1
"MS11",25,25,"Fulani",NA,"Cb24","Soc_TL1_avg_final",NA,"social",2
"MS11",25,25,"Fulani",NA,"Cb24","Gender_TL1_avg_final",NA,"gender",3
"MS11",25,25,"Fulani",NA,"Cb24","Mar_TL1_avg_final",NA,"marriage",4
"MS11",25,25,"Fulani",NA,"Cb24","Sex_TL1_avg_final",NA,"sex",5
"MS11",25,25,"Fulani",NA,"Cb24","FM_TL1_avg_final",NA,"funeral",6
"MS11",25,25,"Fulani",NA,"Cb24","Ov_tl_avg",NA,"overall",7
"MS11",25,25,"Fulani",NA,"Cb24","General_TL5B_avg_final",NA,"gestalt",8
"MS12",26,26,"Hausa","10","Cb26","General_TL1_avg_final",3.875,"law",1
"MS12",26,26,"Hausa","10","Cb26","Soc_TL1_avg_final",3,"social",2
"MS12",26,26,"Hausa","10","Cb26","Gender_TL1_avg_final",3.875,"gender",3
"MS12",26,26,"Hausa","10","Cb26","Mar_TL1_avg_final",3,"marriage",4
"MS12",26,26,"Hausa","10","Cb26","Sex_TL1_avg_final",3.625,"sex",5
"MS12",26,26,"Hausa","10","Cb26","FM_TL1_avg_final",NA,"funeral",6
"MS12",26,26,"Hausa","10","Cb26","Ov_tl_avg",3.475,"overall",7
"MS12",26,26,"Hausa","10","Cb26","General_TL5B_avg_final",4,"gestalt",8
"FI21",27,27,"Masa",NA,"Ai09","General_TL1_avg_final",NA,"law",1
"FI21",27,27,"Masa",NA,"Ai09","Soc_TL1_avg_final",NA,"social",2
"FI21",27,27,"Masa",NA,"Ai09","Gender_TL1_avg_final",NA,"gender",3
"FI21",27,27,"Masa",NA,"Ai09","Mar_TL1_avg_final",NA,"marriage",4
"FI21",27,27,"Masa",NA,"Ai09","Sex_TL1_avg_final",NA,"sex",5
"FI21",27,27,"Masa",NA,"Ai09","FM_TL1_avg_final",NA,"funeral",6
"FI21",27,27,"Masa",NA,"Ai09","Ov_tl_avg",NA,"overall",7
"FI21",27,27,"Masa",NA,"Ai09","General_TL5B_avg_final",NA,"gestalt",8
"FO07",28,28,"Azande","5","Ai03","General_TL1_avg_final",3.875,"law",1
"FO07",28,28,"Azande","5","Ai03","Soc_TL1_avg_final",3.125,"social",2
"FO07",28,28,"Azande","5","Ai03","Gender_TL1_avg_final",4,"gender",3
"FO07",28,28,"Azande","5","Ai03","Mar_TL1_avg_final",4,"marriage",4
"FO07",28,28,"Azande","5","Ai03","Sex_TL1_avg_final",3.5,"sex",5
"FO07",28,28,"Azande","5","Ai03","FM_TL1_avg_final",3.875,"funeral",6
"FO07",28,28,"Azande","5","Ai03","Ov_tl_avg",3.72916666666667,"overall",7
"FO07",28,28,"Azande","5","Ai03","General_TL5B_avg_final",4,"gestalt",8
"MQ08",29,29,"Fur",NA,"Cb17","General_TL1_avg_final",3.25,"law",1
"MQ08",29,29,"Fur",NA,"Cb17","Soc_TL1_avg_final",4,"social",2
"MQ08",29,29,"Fur",NA,"Cb17","Gender_TL1_avg_final",3.25,"gender",3
"MQ08",29,29,"Fur",NA,"Cb17","Mar_TL1_avg_final",2.75,"marriage",4
"MQ08",29,29,"Fur",NA,"Cb17","Sex_TL1_avg_final",2.25,"sex",5
"MQ08",29,29,"Fur",NA,"Cb17","FM_TL1_avg_final",2.25,"funeral",6
"MQ08",29,29,"Fur",NA,"Cb17","Ov_tl_avg",2.95833333333333,"overall",7
"MQ08",29,29,"Fur",NA,"Cb17","General_TL5B_avg_final",3.25,"gestalt",8
"FJ21",30,30,"Nuba",NA,"Ai10","General_TL1_avg_final",3,"law",1
"FJ21",30,30,"Nuba",NA,"Ai10","Soc_TL1_avg_final",3.25,"social",2
"FJ21",30,30,"Nuba",NA,"Ai10","Gender_TL1_avg_final",NA,"gender",3
"FJ21",30,30,"Nuba",NA,"Ai10","Mar_TL1_avg_final",2.25,"marriage",4
"FJ21",30,30,"Nuba",NA,"Ai10","Sex_TL1_avg_final",1.75,"sex",5
"FJ21",30,30,"Nuba",NA,"Ai10","FM_TL1_avg_final",NA,"funeral",6
"FJ21",30,30,"Nuba",NA,"Ai10","Ov_tl_avg",2.5625,"overall",7
"FJ21",30,30,"Nuba",NA,"Ai10","General_TL5B_avg_final",2.75,"gestalt",8
"MP19",32,32,"Mao",NA,"Ai47","General_TL1_avg_final",3,"law",1
"MP19",32,32,"Mao",NA,"Ai47","Soc_TL1_avg_final",3,"social",2
"MP19",32,32,"Mao",NA,"Ai47","Gender_TL1_avg_final",2,"gender",3
"MP19",32,32,"Mao",NA,"Ai47","Mar_TL1_avg_final",3,"marriage",4
"MP19",32,32,"Mao",NA,"Ai47","Sex_TL1_avg_final",3.25,"sex",5
"MP19",32,32,"Mao",NA,"Ai47","FM_TL1_avg_final",4,"funeral",6
"MP19",32,32,"Mao",NA,"Ai47","Ov_tl_avg",3.04166666666667,"overall",7
"MP19",32,32,"Mao",NA,"Ai47","General_TL5B_avg_final",3,"gestalt",8
"FL12",34,34,"Maasai","11","Aj02","General_TL1_avg_final",NA,"law",1
"FL12",34,34,"Maasai","11","Aj02","Soc_TL1_avg_final",NA,"social",2
"FL12",34,34,"Maasai","11","Aj02","Gender_TL1_avg_final",NA,"gender",3
"FL12",34,34,"Maasai","11","Aj02","Mar_TL1_avg_final",NA,"marriage",4
"FL12",34,34,"Maasai","11","Aj02","Sex_TL1_avg_final",NA,"sex",5
"FL12",34,34,"Maasai","11","Aj02","FM_TL1_avg_final",NA,"funeral",6
"FL12",34,34,"Maasai","11","Aj02","Ov_tl_avg",NA,"overall",7
"FL12",34,34,"Maasai","11","Aj02","General_TL5B_avg_final",NA,"gestalt",8
"MP17",35,35,"Konso",NA,"Ca01","General_TL1_avg_final",NA,"law",1
"MP17",35,35,"Konso",NA,"Ca01","Soc_TL1_avg_final",NA,"social",2
"MP17",35,35,"Konso",NA,"Ca01","Gender_TL1_avg_final",NA,"gender",3
"MP17",35,35,"Konso",NA,"Ca01","Mar_TL1_avg_final",NA,"marriage",4
"MP17",35,35,"Konso",NA,"Ca01","Sex_TL1_avg_final",NA,"sex",5
"MP17",35,35,"Konso",NA,"Ca01","FM_TL1_avg_final",NA,"funeral",6
"MP17",35,35,"Konso",NA,"Ca01","Ov_tl_avg",NA,"overall",7
"MP17",35,35,"Konso",NA,"Ca01","General_TL5B_avg_final",NA,"gestalt",8
"MO04",36,36,"Somali","12","Ca02","General_TL1_avg_final",3,"law",1
"MO04",36,36,"Somali","12","Ca02","Soc_TL1_avg_final",3,"social",2
"MO04",36,36,"Somali","12","Ca02","Gender_TL1_avg_final",4,"gender",3
"MO04",36,36,"Somali","12","Ca02","Mar_TL1_avg_final",3,"marriage",4
"MO04",36,36,"Somali","12","Ca02","Sex_TL1_avg_final",NA,"sex",5
"MO04",36,36,"Somali","12","Ca02","FM_TL1_avg_final",3,"funeral",6
"MO04",36,36,"Somali","12","Ca02","Ov_tl_avg",3.2,"overall",7
"MO04",36,36,"Somali","12","Ca02","General_TL5B_avg_final",3.25,"gestalt",8
"MP05",37,37,"Amhara","17","Ca07","General_TL1_avg_final",4,"law",1
"MP05",37,37,"Amhara","17","Ca07","Soc_TL1_avg_final",3,"social",2
"MP05",37,37,"Amhara","17","Ca07","Gender_TL1_avg_final",4,"gender",3
"MP05",37,37,"Amhara","17","Ca07","Mar_TL1_avg_final",2.75,"marriage",4
"MP05",37,37,"Amhara","17","Ca07","Sex_TL1_avg_final",3,"sex",5
"MP05",37,37,"Amhara","17","Ca07","FM_TL1_avg_final",4,"funeral",6
"MP05",37,37,"Amhara","17","Ca07","Ov_tl_avg",3.45833333333333,"overall",7
"MP05",37,37,"Amhara","17","Ca07","General_TL5B_avg_final",3,"gestalt",8
"MS22",40,40,"Teda",NA,"Cc02","General_TL1_avg_final",2.75,"law",1
"MS22",40,40,"Teda",NA,"Cc02","Soc_TL1_avg_final",3,"social",2
"MS22",40,40,"Teda",NA,"Cc02","Gender_TL1_avg_final",2.25,"gender",3
"MS22",40,40,"Teda",NA,"Cc02","Mar_TL1_avg_final",3,"marriage",4
"MS22",40,40,"Teda",NA,"Cc02","Sex_TL1_avg_final",3,"sex",5
"MS22",40,40,"Teda",NA,"Cc02","FM_TL1_avg_final",3.25,"funeral",6
"MS22",40,40,"Teda",NA,"Cc02","Ov_tl_avg",2.875,"overall",7
"MS22",40,40,"Teda",NA,"Cc02","General_TL5B_avg_final",3,"gestalt",8
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","General_TL1_avg_final",4,"law",1
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Soc_TL1_avg_final",NA,"social",2
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Gender_TL1_avg_final",3.75,"gender",3
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Mar_TL1_avg_final",2.875,"marriage",4
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Sex_TL1_avg_final",3.5,"sex",5
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","FM_TL1_avg_final",4,"funeral",6
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Ov_tl_avg",3.625,"overall",7
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","General_TL5B_avg_final",3.125,"gestalt",8
"MR13",43,43,"Fellahin",NA,"Cd02","General_TL1_avg_final",4,"law",1
"MR13",43,43,"Fellahin",NA,"Cd02","Soc_TL1_avg_final",4,"social",2
"MR13",43,43,"Fellahin",NA,"Cd02","Gender_TL1_avg_final",4,"gender",3
"MR13",43,43,"Fellahin",NA,"Cd02","Mar_TL1_avg_final",3.75,"marriage",4
"MR13",43,43,"Fellahin",NA,"Cd02","Sex_TL1_avg_final",4,"sex",5
"MR13",43,43,"Fellahin",NA,"Cd02","FM_TL1_avg_final",NA,"funeral",6
"MR13",43,43,"Fellahin",NA,"Cd02","Ov_tl_avg",3.95,"overall",7
"MR13",43,43,"Fellahin",NA,"Cd02","General_TL5B_avg_final",4,"gestalt",8
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","General_TL1_avg_final",3.5,"law",1
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Soc_TL1_avg_final",NA,"social",2
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Gender_TL1_avg_final",NA,"gender",3
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Mar_TL1_avg_final",2.125,"marriage",4
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Sex_TL1_avg_final",4,"sex",5
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","FM_TL1_avg_final",1.375,"funeral",6
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Ov_tl_avg",2.75,"overall",7
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","General_TL5B_avg_final",2.875,"gestalt",8
"MB01",47,47,"Turks",NA,"Ci05","General_TL1_avg_final",3,"law",1
"MB01",47,47,"Turks",NA,"Ci05","Soc_TL1_avg_final",2.125,"social",2
"MB01",47,47,"Turks",NA,"Ci05","Gender_TL1_avg_final",4,"gender",3
"MB01",47,47,"Turks",NA,"Ci05","Mar_TL1_avg_final",2.875,"marriage",4
"MB01",47,47,"Turks",NA,"Ci05","Sex_TL1_avg_final",3.625,"sex",5
"MB01",47,47,"Turks",NA,"Ci05","FM_TL1_avg_final",NA,"funeral",6
"MB01",47,47,"Turks",NA,"Ci05","Ov_tl_avg",3.125,"overall",7
"MB01",47,47,"Turks",NA,"Ci05","General_TL5B_avg_final",3,"gestalt",8
"ER06",51,51,"Rural Irish",NA,"Cg03","General_TL1_avg_final",3.75,"law",1
"ER06",51,51,"Rural Irish",NA,"Cg03","Soc_TL1_avg_final",4,"social",2
"ER06",51,51,"Rural Irish",NA,"Cg03","Gender_TL1_avg_final",3.75,"gender",3
"ER06",51,51,"Rural Irish",NA,"Cg03","Mar_TL1_avg_final",3.25,"marriage",4
"ER06",51,51,"Rural Irish",NA,"Cg03","Sex_TL1_avg_final",4,"sex",5
"ER06",51,51,"Rural Irish",NA,"Cg03","FM_TL1_avg_final",4,"funeral",6
"ER06",51,51,"Rural Irish",NA,"Cg03","Ov_tl_avg",3.79166666666667,"overall",7
"ER06",51,51,"Rural Irish",NA,"Cg03","General_TL5B_avg_final",3.75,"gestalt",8
"EP04",52,52,"Saami","20","Cg04","General_TL1_avg_final",2.25,"law",1
"EP04",52,52,"Saami","20","Cg04","Soc_TL1_avg_final",NA,"social",2
"EP04",52,52,"Saami","20","Cg04","Gender_TL1_avg_final",1.75,"gender",3
"EP04",52,52,"Saami","20","Cg04","Mar_TL1_avg_final",2,"marriage",4
"EP04",52,52,"Saami","20","Cg04","Sex_TL1_avg_final",2.25,"sex",5
"EP04",52,52,"Saami","20","Cg04","FM_TL1_avg_final",NA,"funeral",6
"EP04",52,52,"Saami","20","Cg04","Ov_tl_avg",2.0625,"overall",7
"EP04",52,52,"Saami","20","Cg04","General_TL5B_avg_final",2,"gestalt",8
"RU41",53,53,"Nenets",NA,"Ec04","General_TL1_avg_final",2,"law",1
"RU41",53,53,"Nenets",NA,"Ec04","Soc_TL1_avg_final",NA,"social",2
"RU41",53,53,"Nenets",NA,"Ec04","Gender_TL1_avg_final",3.25,"gender",3
"RU41",53,53,"Nenets",NA,"Ec04","Mar_TL1_avg_final",3.25,"marriage",4
"RU41",53,53,"Nenets",NA,"Ec04","Sex_TL1_avg_final",NA,"sex",5
"RU41",53,53,"Nenets",NA,"Ec04","FM_TL1_avg_final",2.75,"funeral",6
"RU41",53,53,"Nenets",NA,"Ec04","Ov_tl_avg",2.8125,"overall",7
"RU41",53,53,"Nenets",NA,"Ec04","General_TL5B_avg_final",3,"gestalt",8
"RF10",54,54,"Russians",NA,"Ch11","General_TL1_avg_final",4,"law",1
"RF10",54,54,"Russians",NA,"Ch11","Soc_TL1_avg_final",4,"social",2
"RF10",54,54,"Russians",NA,"Ch11","Gender_TL1_avg_final",3.75,"gender",3
"RF10",54,54,"Russians",NA,"Ch11","Mar_TL1_avg_final",4,"marriage",4
"RF10",54,54,"Russians",NA,"Ch11","Sex_TL1_avg_final",NA,"sex",5
"RF10",54,54,"Russians",NA,"Ch11","FM_TL1_avg_final",4,"funeral",6
"RF10",54,54,"Russians",NA,"Ch11","Ov_tl_avg",3.95,"overall",7
"RF10",54,54,"Russians",NA,"Ch11","General_TL5B_avg_final",4,"gestalt",8
