sccsn,latitude,longitude,Elevation
13,1.5,28.33,717.1634058
185,-40.5,-68,780.0804888
124,68.58,-106.61,32.76
121,66,177,93.25
141,47,-101,569.7661938
112,16.83,121.17,791.5325453
162,9,-62,56.78
64,36.43,74.58,4151.733346
83,-7.7,112.22,359.9110274
86,5,120,2.55
150,35.83,-112.17,1823.548909
2,-20,21,1024.89
52,68.7,21.5,564.0509259
98,-8.43,151.09,0.31
71,22,95.67,134.2842296
92,-9,-148,232.86
144,44,-78,97.49
172,-16,-65.75,334.2467435
182,-23,-58.5,90.89928307
76,15,100,7.46
151,31,-112,571.02
138,42.63,-121.67,1453.211911
70,22.33,93,1060.449908
72,20,100.67,697.9168809
118,42.83,143,176.7201073
142,42,-100,789.0104898
164,7.42,-60.17,123.7962262
58,29,53,1391.350676
46,33.25,38.5,751.2404697
156,15,-83,0.013430198
21,13.75,-15.33,33.30326518
30,11.33,30.67,671.8419844
100,-12.29,168.83,0.09
40,21,17,1087.33
66,46,97,1769.42
186,-55.5,-69.5,241.58
55,43,41,1101.91
1,-27.5,17,770.5085225
32,9.27,34.67,1504.964254
34,-3.5,36.75,1202.091964
53,41.4,-123.89,32.91
90,-11.38,131,7.852466877
93,-7.5,138.5,8.201527393
119,51.54,140,47.87
47,39.33,34.25,1109.528098
60,19.63,80.92,423.2159254
68,27.5,89,2794.578261
184,-38.5,-72.58,190.25
23,10.66,-0.57,206.4969174
25,15,7.5,442.0664407
73,20.5,106.25,10.19356963
85,2,113,301.3901781
99,-6,155,61.09
108,6.28,169.49,0.01
110,9.55,138.13,0.34
130,60.5,-145,122.9807718
37,12.5,37.75,2034.185912
109,7.34,151.6,0.51
132,52.33,-126.5,1371.424221
168,1,-79,890.2215043
8,-9.5,34,1026.743062
42,34.92,-3.25,426.3241661
94,-4,136,806.5178796
29,13.5,25.5,675.3965036
22,12.5,-7,325.3083142
35,5.25,37.5,1395.608574
36,8,48,563.87
57,32,44,0.81
65,48,70,424.96
154,18.25,-94.83,135.7459382
26,10.5,7.5,656.931444
106,-13.94,-171.77,21.03
160,18.83,-72.17,411.996407
96,-2,147,24.72
165,3.5,-55.75,238.9938542
24,16.58,-1.67,276.2189125
51,53.5,-10,29.270093
117,35,136,222.55
159,11.92,-71.75,53.81142977
116,37.6,126.42,41.05909156
91,-24.25,133.5,508.4260406
12,0.33,32.5,1154.083676
43,24.75,33,205.0317021
54,52.67,41.33,160.1009217
102,-17.81,178.32,6.08
3,-12,34,0.76
4,-16,23.5,1050.433449
5,-12,16,1655.28
6,-6,18,875.0457515
7,-10.5,30.5,1228.933626
9,-3.75,35.18,1320.193027
10,-6.83,37.67,451.9252396
11,-0.67,37.17,1467.02288
14,-0.75,19.17,343.8233317
15,4.67,10.8,672.715888
16,7.25,9,171.1927008
17,6,7,69.68
18,7.2,1.91,136.0613835
19,7,-1.5,250.6974991
20,8,-11,85.96
27,10.5,15.5,331.5446465
28,5,27,615.45
31,9.75,31.5,399.8861555
33,7.27,36.5,1807.381104
38,15.75,38.75,1175.209257
39,23,39.11,183.2408359
41,23,6.5,973.4009109
44,32,35,257.9
45,32,45,15.8
48,42,20.17,956.6248228
49,42,12,63.02
50,4,-1,298.59
56,40,44.5,1445.788498
59,32.5,74,228.5257573
61,11.5,76.5,721.5619261
63,25.92,83,76.37539742
67,27.5,103.5,2081.638648
69,26,91,725.34
74,13,108,596.7896224
75,13,103.83,41.33211253
77,5,101.25,587.146524
78,9.17,92.77,0.47
79,13.32,92.89,1.38
80,8.59,81.19,12.68
81,-22,48,10.03863281
82,2.58,102.25,132.7427296
84,-8.5,115.33,59.48131769
87,-2,121,542.9485659
88,2,127.94,93.96063342
89,-8.22,124.26,
95,-4.17,142.67,79.69712667
97,-17.81,178.32,
101,,,
103,-21.37,165.47,
105,-8.9,-140.08,
107,-1.47,175.06,
111,7.45,134.54,
113,24.33,120.75,515.6854071
114,24,115,
115,50,125.5,388.5614329
120,64.75,153.5,339.3783493
122,62.5,-159.5,107.0482749
123,55,-162.85,
125,50,-74,419.2611996
126,46.99,-65,12.90899354
127,52.28,-96.78,
128,62,-122,210.7982845
129,60,-131,1376.605256
133,47.43,-123.25,289.9366419
134,41.4,-123.89,
135,39,-123,412.392426
136,35,-119.5,914.232732
137,43.5,-119,1373.816377
139,49,-116.67,1280.403379
140,48,-108,798.5379458
143,41.43,-96.5,357.8272391
145,32.93,-86,184.0373376
146,31.5,-91.42,75.84794085
147,34,-101.5,881.5286822
148,32,-109.5,1513.00633
149,35.67,-108.75,2112.141041
152,22,-105,667.0883457
153,19,-99.17,1612.250082
155,15,-91,1481.195292
157,9,-83,
158,9.25,-78.5,115.213918
161,15.41,-61.27,
163,2.42,-65,371.9399212
166,-6.5,-56.5,
167,1.25,-70.5,206.5130927
169,-3,-78,
170,-10.33,-72.25,378.9754301
171,-13.5,-72,3865.750051
174,-13,-58.75,474.4098809
175,-11.83,-53.67,322.4355063
176,-6.5,-46,430.4605752
177,-22.79,-44.5,
178,-19,-42.5,449.1006891
180,-28,-50,998.6653611
181,-23.5,-55,
183,-28,-59.5,50.55743102