sccsn,v84,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v237,v238,v238.1,v238.2,v699,v761,v773,v774,v787,v789,v835,v861,v1253_rec,v1254_rec,v1255_rec,v1256_rec,v1257_rec,v1258_rec,v1259_rec,v1265,v1267,v1720_poppress,Adult.Mobility,Contact.OtherSocieties,extfreq,intfreq,oth,ovfreq,fam,chrs
1,1,1,1,1,2,4,2,1,1,3,2,2,1,1,1,3,,,,,,2,3,0,0,0,0,0,0,1,4,4,,,,5,5,2,5,,
2,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,,4,3,4,3,1,1,3,0,1,1,0,0,0,0,2,,0,0.904256813,1.816349659,1,1,4,1,,3
3,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,
4,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1
5,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,
6,1,1,4,4,1,4,1,4,3,5,3,4,2,2,2,,3,2,3,2,1,4,4,1,1,1,1,1,1,1,4,3,0,0.904256813,0.477176605,3.75,2.75,,3.75,,
7,1,2,4,4,2,4,1,1,2,5,3,3,3,3,3,4,,,,,,4,3,0,1,1,1,1,0,0,4,4,,,,5,5,,5,,
8,4,1,4,5,2,4,1,2,4,4,1,3,2,2,2,,3,1,1,2,2,3,4,0,1,1,1,1,1,1,4,2,0,0.904256813,0.477176605,1,1,2,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,2,0,0,1,1,1,1,1,,,,,,8,1,3,1,1,1
10,1,1,5,4,3,4,1,2,5,2,2,1,2,2,2,,,,,,,1,3,0,0,1,1,1,1,0,4,3,,,,1.5,1,,1.5,,3
11,1,1,5,5,2,4,1,2,5,2,2,1,3,3,3,4,3,3,2,2,3,1,4,0,1,1,1,1,1,1,4,4,0,-0.327403329,0.477176605,2.5,1,,2.5,,
12,1,2,5,5,2,4,1,4,5,5,4,4,2,2,2,,1,3,1,1,1,4,4,0,1,1,1,1,1,1,4,3,0,0.904256813,-0.861996448,5,4.5,2,5,3.5,
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,1,1,3,0,0,1,1,1,1,1,1,1,0,0.904256813,0.477176605,0,0,1,0,1,1
14,1,1,5,4,2,4,1,5,2,3,3,3,2,2,2,,,,,,,3,4,1,1,1,1,1,1,1,,,,,,0,3.5,,3.5,,
15,1,1,5,4,3,4,1,3,3,3,2,1,2,2,2,3,,,,,,1,4,1,1,1,1,1,1,1,2,,,,,0,0,,0,,1
16,2,1,5,4,4,4,1,1,4,3,2,2,1,1,1,,3,2,2,1,2,2,4,1,1,1,1,1,1,1,4,4,1,0.904256813,-0.861996448,4,5,,5,,
17,2,1,5,4,5,4,1,4,5,3,2,2,2,2,2,2,,,,,,2,4,1,0,1,1,1,1,1,4,4,,,,1,3.75,,3.75,,1
18,1,3,5,4,5,5,1,4,4,5,4,4,1,1,1,,3,4,1,1,1,4,4,1,1,1,1,1,1,1,4,3,0,,-0.861996448,5,1.5,,5,1,1
19,1,1,5,4,3,4,1,4,4,5,3,3,2,2,2,4,,,,,,3,4,1,0,1,1,1,1,1,2,,,,,2,1,,2,,
20,1,1,5,4,2,5,1,3,4,3,4,2,2,2,2,,3,1,1,1,1,2,4,1,1,1,1,1,1,1,2,,,0.904256813,-0.861996448,1.5,1.5,,1.5,,
21,1,4,5,4,2,5,2,3,5,4,5,3,4,4,4,4,,,,,,3,4,1,0,1,1,1,1,1,4,,1,,,1,1,3,1,2,3
22,1,3,5,5,4,5,3,3,3,3,4,2,1,1,1,,2,,2,1,2,2,4,1,1,1,1,1,1,1,4,,0,-0.327403329,-0.861996448,8,8,3,3,,
23,1,1,5,5,4,4,1,3,5,2,2,1,1,1,1,2,2,2,1,2,1,1,4,1,1,1,1,1,1,1,4,4,0,-0.327403329,0.477176605,1,1,4,1,2,2
24,1,4,5,5,4,4,2,1,3,3,5,4,4,4,4,,,,,,,4,3,1,0,1,1,1,1,1,,,,,,2,1,2,2,,
25,1,1,1,2,2,1,2,1,2,3,1,2,4,4,4,2,,,,,,2,4,0,0,1,1,1,1,0,4,4,0,,,1,2.5,3,2.5,3,2
26,4,5,5,5,5,4,2,3,4,5,5,4,4,4,4,,2,2,1,1,1,4,4,1,1,1,1,1,1,1,4,3,0,-0.327403329,-0.861996448,4.5,4.5,4,4.5,4,2
27,3,1,5,5,3,4,1,1,4,2,1,1,2,2,2,3,,,,,,1,4,1,1,1,1,1,1,1,4,4,,,,5,8,2,5,3,1
28,1,2,5,4,2,4,1,4,2,4,3,3,3,3,3,,2,1,1,1,1,3,4,1,1,1,1,1,1,1,4,,0,-0.327403329,-0.861996448,5,5,,5,,
29,1,5,5,5,2,5,2,2,3,5,3,4,4,4,4,4,,,,,,4,3,0,0,0,1,1,1,1,4,3,0,,,4.5,8,2,4.5,2,1
30,3,2,5,5,4,4,1,1,3,1,2,2,,,,,3,1,1,1,3,2,4,1,1,1,1,1,1,1,4,3,,0.904256813,-0.861996448,5,4,4,5,4,4
31,1,1,5,4,4,4,1,1,4,3,5,2,2,2,2,4,1,1,2,1,1,2,4,1,0,1,1,1,0,1,4,4,0,-1.559063471,-0.861996448,3,3.5,,3.5,,1
32,1,1,5,4,1,4,1,3,3,2,1,2,2,2,2,,,,,,,2,,1,0,1,1,1,1,1,,,,,,0,0,2,0,,1
33,4,2,5,5,1,5,2,2,4,5,4,5,2,2,2,4,,,,,,4,4,1,0,1,1,1,1,1,3,,,,,3.5,8,,3.5,,
34,1,1,1,1,3,4,2,2,2,2,1,2,,,,,3,1,1,1,3,2,4,0,1,1,1,1,1,0,4,4,,-0.327403329,-0.861996448,5,4,4,5,3,
35,3,1,5,5,5,5,2,1,5,3,2,1,2,2,2,3,,,,,,2,3,0,0,1,1,1,0,0,4,4,,,,8,0,,8,2,1
36,2,4,1,2,4,4,2,3,3,3,2,3,4,4,4,,4,1,1,1,1,3,4,0,0,1,1,1,1,1,4,3,1,0.904256813,-0.861996448,4.75,5,2,4.75,2,
37,5,5,5,5,3,5,2,3,4,5,5,4,4,4,4,4,2,2,1,1,1,4,1,0,0,1,0,1,1,1,4,4,0,-1.559063471,-0.861996448,5,8,1,5,2,1
38,1,1,3,3,4,2,2,3,2,3,4,2,4,4,4,,,,,,,2,2,1,0,1,1,1,1,1,4,3,,,,0,0,,0,,
39,1,5,5,5,1,3,2,5,4,2,2,1,4,4,4,3,,,,,,4,3,1,0,1,0,1,1,0,4,,,,,4.75,0,,4.75,3.5,
40,1,2,1,2,1,4,2,3,1,2,3,2,4,4,4,,3,1,1,1,1,2,3,0,0,0,1,1,0,0,4,4,,-0.327403329,-0.861996448,0,0,4,0,3,4
41,1,4,1,3,1,4,2,2,1,4,4,3,4,4,4,3,,,,,,2,1,0,1,0,1,1,1,1,4,4,0,,,5,5,,5,,
42,2,5,5,5,4,5,2,5,5,4,2,2,4,4,4,,3,1,1,1,1,2,3,1,0,0,1,0,1,0,3,,1,-0.327403329,-0.861996448,5,5,2,5,2,3
43,5,5,5,5,5,5,2,5,5,5,5,4,4,4,4,4,2,1,,,1,4,2,0,0,1,1,1,1,1,3,,1,-1.559063471,,1,2,4,2,,2
44,3,5,5,5,5,5,2,5,5,4,5,3,4,4,4,,,,,,,3,,1,0,1,1,0,1,1,4,,,,,1.25,2.5,2,2.5,2,1
45,3,5,5,5,5,5,4,5,5,5,5,4,1,1,1,4,,,,,,4,2,0,0,1,1,0,1,1,4,,,,,5,8,2,5,,
46,3,5,1,1,1,4,2,3,1,3,2,2,4,4,4,,2,1,1,1,1,2,4,1,0,1,1,0,1,0,4,3,0,0.904256813,-0.861996448,3,5,4,5,3,
47,3,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,,,,,,4,2,0,0,1,0,0,1,1,4,4,1,,,1,1,4,1,3,3
48,3,5,3,5,2,4,2,5,4,4,2,3,4,4,4,,3,1,1,1,1,3,4,1,0,1,0,0,1,0,4,4,,-1.559063471,-0.861996448,5,4.5,,5,,2
49,3,5,5,5,5,5,4,5,5,5,5,5,1,1,1,4,,,,,,4,1,1,0,0,0,0,1,0,4,4,,,,5,1,,5,2,1
50,3,5,5,5,5,5,5,5,3,4,5,4,4,4,4,,,,,,,,1,0,0,1,0,0,1,0,3,,1,,,2,1,,2,,
51,5,5,5,5,4,5,5,5,4,4,5,3,4,4,4,4,3,,,2,1,3,1,0,0,0,0,0,1,0,4,4,1,-0.327403329,0.477176605,1,1,,1,,2
52,1,2,1,2,1,3,2,1,2,2,2,1,4,4,4,,3,4,4,1,1,1,1,0,0,0,0,0,0,0,3,4,,0.904256813,-0.861996448,1,1,1,1,1,
53,1,2,1,2,1,1,3,3,1,2,2,1,3,3,3,2,,,,,,1,2,0,0,0,0,0,0,0,2,,,,,2.5,2.5,4,2.75,3,2
54,5,5,5,5,5,5,5,5,3,5,5,5,4,4,4,,,,,,,4,1,1,0,1,0,0,1,0,4,4,1,,,5,5,4,5,,1
55,,4,5,3,3,4,4,1,4,3,5,2,4,4,4,4,,,,,,2,3,0,0,1,0,0,1,0,4,,,,,5,5,3,5,,1
56,3,5,5,5,4,5,2,3,4,5,5,4,4,4,4,,,,,,,4,1,1,0,1,0,0,1,1,,,,,,8,8,,8,,
57,5,4,5,5,5,5,2,5,5,4,3,3,4,4,4,4,1,1,1,1,1,3,3,1,0,1,0,0,1,1,4,,0,-0.327403329,-0.861996448,2.75,2.5,1,2.75,1,
58,1,4,1,3,2,4,2,1,2,4,2,2,4,4,4,,3,4,,1,1,2,,1,0,1,0,0,1,1,2,,0,0.904256813,-0.861996448,8,8,2,8,1,1
59,5,5,5,5,3,5,2,5,5,5,5,5,4,4,4,4,,,,,,4,1,1,0,1,0,0,1,1,3,,1,,,2,3.25,3,3.25,3,2
60,1,1,4,4,1,4,1,4,3,3,2,2,3,3,3,,3,4,4,2,1,2,4,1,0,1,0,1,1,1,1,1,,-1.559063471,0.477176605,1,1,1,1,1,1
61,1,1,3,1,1,1,1,3,4,3,1,2,1,1,1,2,,,,,,2,0,0,0,1,0,1,1,1,2,,,,,1,1,,1,,1
62,5,2,5,,2,3,1,3,5,4,1,2,2,2,2,,3,4,,2,1,2,2,,,,,,,,,,,-0.327403329,0.477176605,1,1,2,1,,3
63,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,,,,,,3,3,1,0,1,0,0,1,1,2,,,,,1.5,1.5,2,1.5,,
64,1,4,5,5,2,4,2,1,2,3,5,2,4,4,4,,1,4,1,2,1,2,,1,0,1,0,0,0,1,2,,,-1.559063471,0.477176605,1,1,1,1,,2
65,1,4,2,1,4,4,2,3,2,4,4,4,4,4,4,5,2,2,1,1,1,4,3,1,0,0,0,0,0,1,4,4,,-1.559063471,-0.861996448,3,4,3,4,3,1.5
66,1,5,2,2,1,4,4,3,2,5,4,4,,,,,,,,,,4,1,0,0,0,0,0,0,0,4,,0,,,3.25,3,4,3.5,2,
67,3,5,5,5,2,4,2,4,2,2,4,1,1,1,1,2,,,,,,1,2,0,0,1,0,0,1,1,2,,,,,4.5,4.5,,4.5,,
68,1,4,5,5,2,3,1,3,4,3,2,2,3,3,3,,3,4,4,2,1,2,2,0,0,1,0,1,0,1,4,3,,-1.559063471,0.477176605,1,1,1,1,1,1
69,5,1,5,4,3,4,1,3,4,4,2,2,2,2,2,1,,,,,,2,2,1,0,1,0,1,1,1,4,2,0,,,1,1,,1,,1
70,3,2,5,4,3,4,1,2,3,3,4,2,4,4,4,,2,1,1,2,1,2,2,1,0,1,0,1,1,1,4,4,1,-1.559063471,0.477176605,2,1.75,3,2,3,
71,5,5,5,5,4,5,4,5,5,5,5,4,1,1,1,4,,,,,,4,1,1,0,1,0,1,1,1,1,1,0,,,1,5,,5,,1
72,1,1,3,4,2,1,1,2,1,2,2,1,1,1,1,,2,4,4,2,1,1,,0,0,1,0,0,0,1,2,,0,-1.559063471,0.477176605,0,0,2,0,3,2
73,1,5,5,5,4,5,5,3,5,5,5,5,1,1,1,4,2,,,1,1,4,3,0,0,1,0,1,1,1,4,3,,,-0.861996448,5,5,4,5,1,
74,1,1,4,4,4,3,1,3,5,2,2,1,1,1,1,,,,,,,1,,0,0,1,0,1,1,1,4,3,,,,3.25,2.25,,3.25,,
75,3,3,5,5,5,5,4,5,4,5,5,5,2,2,2,4,,,,,,4,2,0,0,1,0,1,1,1,,,,,,3.5,2,,3.5,1,1
76,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,,,,,,,4,3,0,0,1,0,1,1,1,1,1,,,,0,0,3,0,1,1
77,1,1,1,2,1,1,1,1,1,2,1,1,3,3,3,1,3,4,4,2,1,1,2,0,0,1,0,1,1,1,4,3,0,0.904256813,0.477176605,1,1,,1,,
78,2,2,5,4,3,4,1,1,4,2,1,1,,,,,,,,,,1,,0,0,1,0,0,0,0,1,1,0,,,2,1,,2,,1
79,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,4,2,2,2,1,1,1,0,0,1,0,1,1,0,1,1,,-0.327403329,0.477176605,4,4,,4,,1
80,2,2,2,2,1,2,1,3,1,1,1,1,1,1,1,,,,,,,1,1,0,0,1,0,1,1,1,,,0,,,1,1,,1,,
81,1,1,3,5,3,4,1,1,2,3,4,2,2,2,2,2,,,,,,2,4,0,0,1,1,1,1,1,,,0,,,1.5,3,,2.75,1,1
82,5,5,5,5,5,4,4,5,5,4,3,4,4,4,4,,3,2,1,1,1,3,,0,0,1,0,1,1,1,2,,,0.904256813,-0.861996448,0,3.25,,3.5,,
83,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,4,,,,,,4,3,0,0,1,0,1,1,1,,,,,,5,5,3,5,1,
84,5,5,5,5,4,5,5,5,5,4,5,4,1,1,1,,3,4,4,1,3,3,3,1,0,1,0,0,1,1,3,,,-0.327403329,-0.861996448,5,5,2,5,,1
85,1,1,4,4,1,4,1,1,3,2,2,1,1,1,1,2,3,1,1,2,1,1,1,0,0,1,0,0,0,0,4,2,0,0.904256813,0.477176605,0,1,2,1,,
86,1,1,1,2,3,1,1,1,1,2,2,1,,,,,,,,,,1,1,0,0,1,0,1,0,0,2,,,,,1.5,1,1,1.5,,1
87,2,2,5,4,2,4,1,2,3,3,2,2,,,,3,3,3,1,1,1,2,,0,0,1,1,1,1,1,4,3,,-0.327403329,-0.861996448,4,4,,4,,
88,,2,5,4,3,4,1,3,3,4,2,3,,,,,,,,,,3,1,0,0,1,0,1,1,1,,,,,,0,0,,0,,
89,1,2,5,4,2,1,1,4,5,4,2,3,2,2,2,2,,,,,,3,4,0,0,1,0,1,1,1,4,,,,,1,1,,1,1,
90,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,,3,1,4,3,1,1,4,0,0,0,0,1,1,1,2,,0,0.904256813,1.816349659,1,3.5,1,3.5,1,1
91,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,4,0,0,0,0,0,1,0,4,4,,,,2,8,2,8,2,
