sccsn,subsistence,agriculture,horticulture,huntergatherer,pastoralism,other
21,Horticulturalists,0,1,0,0,0
32,Horticulturalists,0,1,0,0,0
70,Horticulturalists,0,1,0,0,0
85,Horticulturalists,0,1,0,0,0
94,Horticulturalists,0,1,0,0,0
106,Horticulturalists,0,1,0,0,0
154,Horticulturalists,0,1,0,0,0
172,Horticulturalists,0,1,0,0,0
2,Hunter Gatherer,0,0,1,0,0
13,Hunter Gatherer,0,0,1,0,0
53,Hunter Gatherer,0,0,1,0,0
86,Hunter Gatherer,0,0,1,0,0
90,Hunter Gatherer,0,0,1,0,0
91,Hunter Gatherer,0,0,1,0,0
96,Hunter Gatherer,0,0,1,0,0
102,Hunter Gatherer,0,0,1,0,0
108,Hunter Gatherer,0,0,1,0,0
118,Hunter Gatherer,0,0,1,0,0
119,Hunter Gatherer,0,0,1,0,0
124,Hunter Gatherer,0,0,1,0,0
130,Hunter Gatherer,0,0,1,0,0
132,Hunter Gatherer,0,0,1,0,0
138,Hunter Gatherer,0,0,1,0,0
156,Hunter Gatherer,0,0,1,0,0
162,Hunter Gatherer,0,0,1,0,0
164,Hunter Gatherer,0,0,1,0,0
182,Hunter Gatherer,0,0,1,0,0
185,Hunter Gatherer,0,0,1,0,0
186,Hunter Gatherer,0,0,1,0,0
8,Intensive Agriculture,1,0,0,0,0
12,Intensive Agriculture,1,0,0,0,0
23,Intensive Agriculture,1,0,0,0,0
26,Intensive Agriculture,1,0,0,0,0
29,Intensive Agriculture,1,0,0,0,0
30,Intensive Agriculture,1,0,0,0,0
35,Intensive Agriculture,1,0,0,0,0
37,Intensive Agriculture,1,0,0,0,0
43,Intensive Agriculture,1,0,0,0,0
47,Intensive Agriculture,1,0,0,0,0
54,Intensive Agriculture,1,0,0,0,0
59,Intensive Agriculture,1,0,0,0,0
64,Intensive Agriculture,1,0,0,0,0
68,Intensive Agriculture,1,0,0,0,0
71,Intensive Agriculture,1,0,0,0,0
73,Intensive Agriculture,1,0,0,0,0
76,Intensive Agriculture,1,0,0,0,0
83,Intensive Agriculture,1,0,0,0,0
93,Intensive Agriculture,1,0,0,0,0
112,Intensive Agriculture,1,0,0,0,0
116,Intensive Agriculture,1,0,0,0,0
117,Intensive Agriculture,1,0,0,0,0
141,Intensive Agriculture,1,0,0,0,0
160,Intensive Agriculture,1,0,0,0,0
184,Intensive Agriculture,1,0,0,0,0
1,Other,0,0,0,0,1
72,Other,0,0,0,0,1
92,Other,0,0,0,0,1
98,Other,0,0,0,0,1
99,Other,0,0,0,0,1
100,Other,0,0,0,0,1
109,Other,0,0,0,0,1
110,Other,0,0,0,0,1
121,Other,0,0,0,0,1
142,Other,0,0,0,0,1
144,Other,0,0,0,0,1
150,Other,0,0,0,0,1
151,Other,0,0,0,0,1
165,Other,0,0,0,0,1
168,Other,0,0,0,0,1
22,Pastoralists,0,0,0,1,0
24,Pastoralists,0,0,0,1,0
25,Pastoralists,0,0,0,1,0
34,Pastoralists,0,0,0,1,0
36,Pastoralists,0,0,0,1,0
40,Pastoralists,0,0,0,1,0
42,Pastoralists,0,0,0,1,0
46,Pastoralists,0,0,0,1,0
51,Pastoralists,0,0,0,1,0
52,Pastoralists,0,0,0,1,0
55,Pastoralists,0,0,0,1,0
57,Pastoralists,0,0,0,1,0
58,Pastoralists,0,0,0,1,0
60,Pastoralists,0,0,0,1,0
65,Pastoralists,0,0,0,1,0
66,Pastoralists,0,0,0,1,0
159,Pastoralists,0,0,0,1,0